price,date,media_movel_7d,media_movel_30d,bitcoin_return,Price_M
113402.84560367846,2025-09-10 20:02:38.220,113733.03541831407,112133.08395148502,-0.0016653539734901,0.11
113625.82028845928,2025-09-10 21:02:43.267,113688.95307413217,112196.28411029208,0.0019662177222612,0.11
113885.30512691998,2025-09-10 22:02:37.931,113688.11260853532,112296.7867314788,0.0022836784614794,0.11
113935.59752053463,2025-09-10 23:02:16.643,113692.63320871264,112395.43955967511,0.0004416056448952,0.11
114000.12092296442,2025-09-11 00:02:24.417,113739.47700091652,112494.39207144144,0.0005663146885954,0.11
113898.88515467384,2025-09-11 01:02:22.679,113762.94159099672,112586.15599251197,-0.0008880321132203,0.11
113925.246733355,2025-09-11 02:01:57.331,113810.54590722652,112673.02244987864,0.0002314472055222,0.11
113851.68539357337,2025-09-11 03:01:16.610,113874.6658772115,112756.10543455135,-0.0006456983143849,0.11
114419.6275852975,2025-09-11 04:01:45.613,113988.06691961696,112860.03464163994,0.0049884390359336,0.11
114167.93383345696,2025-09-11 05:01:42.786,114028.44244912225,112948.36239530098,-0.0021997427989607,0.11
114273.229970576,2025-09-11 06:01:38.161,114076.675656271,113040.085253259,0.0009222916942042,0.11
114409.3605035541,2025-09-11 07:02:56.015,114135.13845349812,113151.66021230414,0.0011912722954723,0.11
114077.07046607311,2025-09-11 08:02:31.948,114160.59349798372,113253.45924214867,-0.0029043955496164,0.11
114055.54421450144,2025-09-11 09:02:30.436,114179.2074238618,113342.05902453708,-0.0001886991968125,0.11
113916.23703791054,2025-09-11 10:00:58.161,114188.42908733852,113421.73602115462,-0.0012213976755826,0.11
114074.88061462918,2025-09-11 11:02:33.513,114139.1795201002,113506.84233974856,0.0013926335774754,0.11
114016.78333491352,2025-09-11 12:00:44.973,114117.58659173684,113588.48835842586,-0.0005092907343197,0.11
114045.24306152646,2025-09-11 13:00:11.356,114085.0170333012,113661.82475747544,0.0002496099765361,0.11
114181.76302947623,2025-09-11 14:02:47.248,114052.50310843292,113716.93524707318,0.0011970684991755,0.11
114499.29484245344,2025-09-11 15:02:16.287,114112.82087648724,113788.12173816898,0.0027809328263326,0.11
114136.79634924183,2025-09-11 16:02:38.478,114124.42832430732,113851.02228756755,-0.0031659452026351,0.11
114499.52326893096,2025-09-11 17:00:16.404,114207.7549287388,113923.63233428504,0.0031780015848632,0.11
114546.6290692586,2025-09-11 18:02:17.055,114275.14756511444,114000.00916695644,0.0004114060826001,0.11
114309.82612735905,2025-09-11 19:01:46.198,114317.01082117808,114029.45507926126,-0.0020673060728517,0.11
114435.8890920037,2025-09-11 20:02:34.225,114372.81739696054,114046.17149240364,0.0011028182695702,0.11
114402.34864966484,2025-09-11 21:02:41.482,114404.32962841606,114063.21016785588,-0.0002930937366325,0.11
114531.97774766892,2025-09-11 22:02:36.526,114408.9986148754,114084.14431546838,0.0011330982233679,0.11
115251.54504573994,2025-09-11 23:02:35.315,114568.24842866088,114136.78867107512,0.0062826759148115,0.12
115503.16663193036,2025-09-12 00:02:11.931,114711.6260519465,114195.73979133573,0.0021832382905631,0.12
116083.02684089626,2025-09-12 01:00:47.600,114931.11144789471,114278.7734687074,0.0050202970695489,0.12
115541.43745371678,2025-09-12 02:02:39.108,115107.05592308869,114350.05986370868,-0.0046655346773631,0.12
115321.70299565145,2025-09-12 03:02:20.659,115233.60076646692,114406.58928728176,-0.0019017805465104,0.12
115198.04689576304,2025-09-12 04:02:23.377,115347.27194448096,114450.3473462432,-0.0010722708447433,0.12
115430.88537282546,2025-09-12 05:02:00.681,115475.68731950333,114500.19027465286,0.0020212016031235,0.12
115656.41297780728,2025-09-12 06:02:47.846,115533.52559551294,114555.40000981429,0.0019537890942566,0.12
115339.65347651656,2025-09-12 07:03:05.554,115510.16657331095,114603.4256205424,-0.0027387975567899,0.12
115143.92060273138,2025-09-12 08:02:37.781,115376.00853928742,114644.04808285492,-0.001697012847581,0.12
115090.51727175506,2025-09-12 09:02:44.701,115311.59137043577,114685.34247879434,-0.0004637963576086,0.12
114977.79702489632,2025-09-12 10:02:30.254,115262.46194604217,114703.94812678096,-0.0009794051632645,0.11
114970.87662702952,2025-09-12 11:02:25.697,115230.0090505088,114730.71288656672,-6.0188993404319824e-05,0.11
