price,date,media_movel_7d,media_movel_30d,ethereum_return
3912.17727244417,2025-07-28 07:05:53.394,3889.7105343873845,3828.0452051014336,-0.005493262866029358
3890.2866460394775,2025-07-28 08:08:59.454,3892.894118608055,3832.3757051391567,-0.005595509835119472
3889.5810333586073,2025-07-28 09:08:25.347,3898.757251980432,3835.9746919692325,-0.00018137806929696687
3892.2188780945485,2025-07-28 10:02:32.798,3899.401142790629,3839.8885460555657,0.0006781822292216688
3886.72054219065,2025-07-28 11:04:12.081,3900.984339607414,3843.139349992018,-0.0014126481773271138
3878.6330241741284,2025-07-28 12:02:42.791,3897.629141796852,3846.1609974503413,-0.002080807696033471
3871.197286303615,2025-07-28 13:09:21.603,3888.687811800742,3849.384650519644,-0.0019171027071056557
3842.450446877751,2025-07-28 14:03:58.653,3878.7268367198258,3851.7021156309274,-0.007425826507879374
3786.7439525838913,2025-07-28 15:08:59.066,3863.9350233690275,3852.2000025329903,-0.01449764806703624
3808.413214802445,2025-07-28 16:04:47.369,3852.339620718147,3853.7301976497606,0.005722399636703068
3809.476788130209,2025-07-28 17:03:55.745,3840.519322151813,3853.340925312108,0.00027926941426170693
3787.0047529205253,2025-07-28 18:05:58.937,3826.2742093989377,3852.3501493712392,-0.00589898205436068
3779.295563453658,2025-07-28 19:01:34.843,3812.0831435817277,3850.7283777938787,-0.0020356957463341097
3791.0939055701615,2025-07-28 20:09:26.369,3800.6398034769486,3850.0286561842495,0.0031218363100773416
3789.229970993691,2025-07-28 21:08:08.275,3793.036878350654,3849.5250375123624,-0.0004916614103733785
3786.066605778873,2025-07-28 22:04:20.757,3792.940114521366,3848.29277120833,-0.0008348306223252555
3782.2004608029283,2025-07-28 23:09:53.958,3789.1954353785777,3847.2138761341357,-0.001021150808610649
3786.303845995956,2025-07-29 00:02:53.669,3785.8850150736844,3845.3657905516766,0.001084920071147355
3776.6220228029692,2025-07-29 01:10:06.322,3784.4017679140343,3843.0135621791296,-0.002557064511139462
3764.6698623333295,2025-07-29 02:05:41.448,3782.3123820397013,3840.7246406085333,-0.003164775399145947
3759.340091069093,2025-07-29 03:07:59.339,3777.776122825263,3838.515754458066,-0.001415734037548022
3789.1298275819786,2025-07-29 04:03:14.380,3777.7618166235893,3836.7792616583406,0.007924193020912407
3781.692818959534,2025-07-29 05:09:00.299,3777.1369899351125,3834.1858468034147,-0.0019627220393211298
3803.8847279676693,2025-07-29 06:04:40.158,3780.234742387219,3832.0076669832465,0.005868247388279624
3827.3912180109933,2025-07-29 07:01:23.104,3786.1043669607957,3830.6539890337867,0.006179601045871674
3874.2693117607973,2025-07-29 08:09:23.025,3800.0539796690564,3831.5116627674142,0.012248053851721341
3873.830331233385,2025-07-29 09:04:58.077,3815.648332369064,3831.048952394421,-0.00011330666303444037
3873.181861550877,2025-07-29 10:04:37.156,3831.9114424378904,3830.9670756303453,-0.0001673975437901376
3828.3611149677654,2025-07-29 11:04:58.434,3837.5159120644316,3828.5084658343353,-0.011572073862073817
3821.3902849149636,2025-07-29 12:08:29.243,3843.186978629493,3824.761922122288,-0.0018208392164333898
3854.7228815119192,2025-07-29 13:04:54.990,3850.4495719929573,3822.8467757578796,0.008722636033418718
3832.669510625733,2025-07-29 14:04:55.924,3851.2036137950627,3820.9262045774217,-0.005721130043344735
3800.4971614453925,2025-07-29 15:00:38.276,3840.6647351785764,3817.9567421803144,-0.008394240382883389
3764.047551847036,2025-07-29 16:09:22.551,3824.981480980527,3813.68436463873,-0.009590747749563922
3749.2167211862593,2025-07-29 17:01:16.369,3807.2721752141524,3809.1009039385845,-0.003940128400742315
3765.96725375994,2025-07-29 18:09:26.637,3798.3587664701777,3805.3453782581114,0.004467741882998144
3768.3457443471216,2025-07-29 19:07:23.764,3790.780974960486,3801.916993526228,0.0006315749519083536
3761.6629177807054,2025-07-29 20:09:27.961,3777.4866944274554,3799.2240758896596,-0.0017734112047550488
3758.0861815319045,2025-07-29 21:04:15.599,3766.8319331283374,3798.2688168545938,-0.0009508391174271047
3777.6943887538873,2025-07-29 22:08:24.632,3763.5743941724077,3797.2448559863087,0.005217604460042047
3790.6449244117252,2025-07-29 23:03:09.881,3767.374018824506,3796.6171271956923,0.0034281586399342867
3788.5983716058226,2025-07-30 00:04:26.890,3772.9999688844437,3796.6702478185357,-0.0005398956765174656
3775.0560906468295,2025-07-30 01:09:29.788,3774.2983741539997,3796.528932058308,-0.0035744831282428224
3794.0908761154997,2025-07-30 02:03:38.834,3777.9762501209107,3796.6288310764858,0.005042252356416865
3813.024352018869,2025-07-30 03:01:47.799,3785.3135978692194,3797.4219771106586,0.004990253665920097
3817.895272586206,2025-07-30 04:04:20.892,3793.85775373412,3798.482932670903,0.001277442816424168
3806.221796628731,2025-07-30 05:08:35.588,3797.9330977162404,3799.2836438650966,-0.0030575684045851537
3808.297411905873,2025-07-30 06:03:39.611,3800.454881643976,3800.0167627287606,0.0005453216832975727
3827.3983365158124,2025-07-30 07:06:38.876,3805.9977337739742,3801.7093065191884,0.005015607381457121
3812.472954152184,2025-07-30 08:09:12.518,3811.342999989025,3803.30274291315,-0.0038996156269471838
3814.0898051925196,2025-07-30 09:09:02.475,3814.1999898571707,3805.127733383931,0.0004240950846812197
3785.465560758278,2025-07-30 10:04:07.437,3810.2630196770865,3805.0055911564746,-0.0075048690241306115
3776.620536412175,2025-07-30 11:05:36.501,3804.3666287950823,3804.836515071562,-0.0023365750405429653
3753.1328444507376,2025-07-30 12:08:46.728,3796.7824927696543,3803.144785620998,-0.006219235354725683
3775.835256529304,2025-07-30 13:04:21.254,3792.145042001573,3801.4262535716084,0.006048923131546813
3769.314130756486,2025-07-30 14:08:45.013,3783.8472983216698,3797.9277475381314,-0.001727068404677179
3809.655346153719,2025-07-30 15:08:47.925,3783.4447828933176,3795.788581368809,0.010702534731202418
3795.847064755216,2025-07-30 16:03:02.122,3780.838677116559,3793.210754808954,-0.0036245487173648394
3794.918924365316,2025-07-30 17:04:04.808,3782.189157631851,3792.0960151222052,-0.0002445146956835398
3809.8007948788,2025-07-30 18:03:39.230,3786.929194555654,3791.7096987876666,0.003921525284225291
3731.7673464568343,2025-07-30 19:07:22.391,3783.8769805565253,3787.6111809524973,-0.020482290970924133
3763.1452655470025,2025-07-30 20:02:36.064,3782.0641247019107,3785.293706116539,0.008408326719499426
3770.140923833192,2025-07-30 21:04:30.517,3782.1822379985824,3784.281831529466,0.0018589923568026467
3761.896576269123,2025-07-30 22:06:52.471,3775.359556586497,3784.210132343536,-0.0021867478512412886
3766.3455892125785,2025-07-30 23:05:48.110,3771.145060080407,3784.7810946110794,0.001182651583650829
3807.3816139916844,2025-07-31 00:03:18.457,3772.925444312745,3786.161573285471,0.010895448600531932
3842.2436644479726,2025-07-31 01:04:09.796,3777.5601399654843,3788.6248372888335,0.009156437150448449
3837.772664877708,2025-07-31 02:03:57.782,3792.7037568827513,3791.1618288587333,-0.0011636429026181672
3859.230695906929,2025-07-31 03:08:52.128,3806.4302469341696,3794.533312671234,0.005591272048393936
3863.040751763768,2025-07-31 04:04:41.844,3819.701650924252,3797.37819143823,0.0009872578648588703
